station_code,location,,,state,,,temperature_(0_c),,dissolved_oxygen_(mg/_l),,ph,,conductivity_(µmho/_cm),,,bio-chemical,,,nitrate_(mg/_l),,faecal_coliform_(mpn/_100_ml),,,,total_coliform_(mpn/_100_ml),
,,,,,,,,,,,,,,,,Oxygen Demand,,,,,,,,,,
,,,,,,,,,,,,,,,,(mg/ L),,,,,,,,,,
,,,,,,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,"< 2500 MPN/ 100
mL",,,,
,,,,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,,Max,,Min,Max
1002,"BEAS AT D/S KULU, H.P.",,,,HIMACHAL,,5.0,14.0,7.4,9.8,7.8,8.2,79,219,0.1,,0.4,,0.30,1.08,25,,63,,220,540
,,,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1003,"BEAS AT D/S AUT, H.P.",,,,HIMACHAL,,5.0,15.0,7.3,11.0,7.6,8.4,84,167,0.1,,1.6,,0.30,1.13,2,,34,,2,280
,,,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1004,,BEAS AT U/S PANDON,,,HIMACHAL,,9.0,25.0,8.3,11.3,7.3,8.5,69,232,0.1,,0.3,,0.30,0.98,17,,33,,130,240
,,"DAM, H.P.",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1005,,BEAS AT EXIT OF TUNNEL,,"HIMACHAL
PRADESH",,,8.0,22.0,8.5,11.6,7.9,8.4,100,304,0.1,,0.4,,0.30,0.44,21,,34,,130,350
,,"DEHAL POWER HOUSE,",,,,,,,,,,,,,,,,,,,,,,,,
,,H.P.,,,,,,,,,,,,,,,,,,,,,,,,
1006,"BEAS AT D/S MANDI, H.P.",,,,HIMACHAL,,10.0,26.0,6.9,12.0,7.7,8.3,93,310,0.1,,0.4,,0.30,0.71,20,,43,,170,430
,,,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1007,,"BEAS AT D/S ALAMPUR,",,,HIMACHAL,,10.0,19.0,7.2,8.7,6.9,8.3,138,402,0.1,,0.8,,0.10,1.47,2,,7,,79,210
,,H.P.,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1008,"BEAS AT D/S
DEHRAGOPIPUR, H.P.",,,"HIMACHAL
PRADESH",,,12.0,18.0,6.7,8.7,7.2,8.4,141,448,0.1,,0.8,,0.28,2.34,2,,6,,70,220
1009,,"BEAS AT D/S PONG DAM,",,,HIMACHAL,,11.0,18.0,6.9,8.8,6.9,8.2,153,528,0.1,,0.4,,0.18,2.77,2,,6,,63,220
,,H.P.,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1550,"U/S MANDI, H.P",,,,HIMACHAL,,9.0,24.0,7.2,10.8,7.6,8.3,79,218,0.1,,0.1,,0.30,0.73,13,,27,,110,210
,,,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
2601,BEAS AT D/S MANALI,,,,HIMACHAL,,4.0,12.0,5.2,10.5,7.6,8.5,86,162,0.1,,0.4,,0.30,0.84,21,,94,,210,430
,,,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
2602,BEAS AT U/S KULLU,,,,HIMACHAL,,5.0,14.0,7.4,9.9,7.8,8.3,87,734,0.1,,0.3,,0.30,0.99,21,,43,,150,430
,,,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
2603,,BEAS AT D/S PANDOH,,,HIMACHAL,,9.0,25.0,6.7,11.4,7.0,8.4,73,222,0.1,,0.4,,0.30,0.98,21,,43,,150,280
,,DAM,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
