,table,,table,,page,
,NO.,,,,NO.,
1,,,WATER QUALITY OF RIVER BEAS,1-3,,
2,,,WATER QUALITY OF RIVER SUTLEJ,4-7,,
2.1,,,"WATER QUALITY OF TRIBUTARY STREAMS - RAVI, PARVATI, LARGI, SIRSA, SIUEL, SUKETI KHAD,
BINWA, NEUGAL, SPITI, BASPA, BANGANGA, BASANTER, CHENAB, DEVAK, TAWI, MANWAR, CHUNT KOL,
GAWKDAL, JHELUM, LIDDER, SINDH, UJH, SARSA NADI, SWAN, TIRTHAN, PABBAR, ALHI NOG, HARABAGH,
KUNNI PUL, ASHWANI, MANJHI KHAD, MOL KHAD, BANER KHAD, CHARAN KHAD, ASHWANI KHAD, GUMMA
NAUTI KHA, DHAULI KHAD, SHIKARI KHAD, BATTA AND KALI BEIN",8-15,,
3,,,WATER QUALITY OF RIVER GANGA,16-23,,
4,,,WATER QUALITY OF RIVER YAMUNA,24-27,,
4.1,,,"WATER QUALITY OF TRIBUTARY STREAMS - TONS, GIRI, PABBAR, HINDON, BETWA, KALI SINDH, DHANARI
DAM, BANAS, NEWTA DAM, CHAPPI DAM, UJAD DAM, CHAMBAL, PARVATI, KHAN AND KSHIPRA (2021)",28-32,,
4.2,,,"WATER QUALITY OF TRIBUTARY STREAMS - SUSWA, BHELLA, DHELLA, KOSHI, GOLA, KICCHA, PILKHAR,
NANDOUR, KALYANI, RAMGANGA, KALI (E), KALINADI, BANGANGA, VARUNA, SAI, GOMTI, BANGANGA, RAPTI,
GHAGHARA AND RIHAND (2021)",33-37,,
4.3,,,"WATER QUALITY OF TRIBUTARY STREAMS - SONE, TONS, GANDAK, SIKRAHNA, BURHI GANDAK, HARBORA,
KAMALA, KOSHI, DAHA, DHOS, RAMREKHA, SIRSIYA, BAGMATI, MANUSMAR, POONPUN, KOHRA, HARHA,
LAKHANDEI, GANGI AND PARMAR (2021)",38-42,,
4.4,,,"WATER QUALITY OF TRIBUTARY STREAMS - BICHIA, SANKH, SONE, VAISHALI, KARIYARI, NEWAJ, CHAMLA,
CHOUPAN, GOUR, JAMUNI, SONE, BEEHAR, BETWA, KALIASOT,
PARVATI, GOPAD, JOHILA, SINDH AND KOLAR DAM (2021)",43-45,,
,TABLE,,TABLE,,PAGE,
,NO.,,,,NO.,
4.5,,,"WATER QUALITY OF TRIBUTARY STREAMS - JUMAR, AJAY, KONAR, GARGA, BOKARO, SANKH, BARAKAR,
DAMODAR, MATHABHANGA, MAYURAKSHI, CHURNI, JALANGI, RUPNARAYAN, DWARKA, DWARAKESHWAR,
BINDYADHARI, KANSI, BARAKAR AND MAHANANDA (2021)",46-49,,
