,table,,,table,,,page,
,No.,,,,,,No.,
1,,,WATER QUALITY OF RIVER BEAS,,,,,
2,,,WATER QUALITY OF RIVER SUTLEJ,,,,,
2.1,,,"WATER QUALITY OF TRIBUTARY STREAMS - RAVI, PARVATI, SIRSA, SARSA, BAIRA SIUL, SUKETI KHAD,
BINWA, NEUGAL KHAD, SPITI, BASPA, BANGANGA, BASANTER, CHENAB, DEVAK, TAWI, UJH, SWAN,
TIRTHAN, PABBAR, ASHWANI KHAD, MANJHI KHAD, MOL KHAD, BANER KHAD, CHARAN KHAND, DHAULI
KHAD, SHIKARI KHAD, BATTA, KALI BEIN, SAINJ, MARKANDA, GAJ KHAD, BATHER KHAD, BALD, RATTA,
UHL SUKETI KHAD, SEER KHAD, BHAGGA, CHANDRA, GIRI AND KOSHALYA",,,,,
3,,,WATER QUALITY OF RIVER GANGA,,,,,
4,,,WATER QUALITY OF RIVER YAMUNA,,,,,
4.1,,,"WATER QUALITY OF TRIBUTARY STREAMS – TONS, GIRI, PABBAR, PILKHAR, HINDON, KEN, BETWA, KALI
SINDH, BANAS, CHAMBAL, PARVATI, KHAN AND KSHIPRA",,,,,
4.2,,,"WATER QUALITY OF TRIBUTARY STREAMS – SUSWA, BHELLA, DHELLA, KOSI, GOLA, KICHHA, PILKHAR,
NANDOUR, KALYANI, GIRI, RAMGANGA, KALI EAST, KALINADI, BANGANGA, VARUNA, SAI, GOMTI, RAPTI,
SARYU AND GHAGHARA",,,,,
4.3,,,"WATER QUALITY OF TRIBUTARY STREAMS – SONE, TONS, GANDAK, SIKRAHNA, BURHI GANDAK,
HARBORA, KAMALA, KOSHI, DAHA, DHOS, RAMREKHA, SIRSIYA, BAGMATI, MANUSMAR, PUNPUN,
UNPUN, KOHRA, HARHA, LAKHANDEI, GANGI, PARMAR AND MAHANANDA",,,,,
4.4,,,"WATER QUALITY OF TRIBUTARY STREAMS - BICHIA, SANKH, SONE, TONS, MANDAKINI, BEEHAR, BETWA,
KALIASOT, BANSAGAR CANAL, BASLI, KARIYARI, NEWAJ, CHAMLA, CHOUPAN, JAMUNI, BEBUS, PARVATI,
GOPAD, JOHILA AND SIND",,,,,
4.5,,,"WATER QUALITY OF TRIBUTARY STREAMS - JUMAR, AJAY, KONAR, GARGA, BOKARO, SANKH, BARAKAR,
DAMODAR, NALKARI, SURBARNREKHA, JAMUNIA, KATRI, MATHABHANGA, CHURNI, DWARAKESHWAR,",,,,,
,Table,,,Table,,,Page,
,No.,,,,,,No.,
,,,"JALANGI, RUPNARAYAN, TARAPITH, BINDYADHARI, KANSI, MAHANANDA, SILABATI, HALDI AND
RASULPUR",,,,,
4.6,,,"WATER QUALITY OF TRIBUTARY STREAMSN - BANAS, KELWARA, CHAMBAL, JAWAI, BERACH AND
GAMBHIRI",,,,,
5,,,WATER QUALITY OF RIVER BRAHMAPUTRA,,,,,
5.1,,,"WATER QUALITY OF TRIBUTARY STREAMS - BURHIDIHING, DHANSIRI, BHARALU, DIKRONG, GAI NADI,
DIGARU, DIGBOI, DIKHOW, KALJANI, GABHARU, TOCKLAI, TUNIA, LARSING, DHATESHWARI, DEMOW,
BORSILA, BARAK, DIBANG, DIHING, SENKI, DORIKA, SUBANSIRI, SIANG, BARALIA, TIHU, SINGRA,
DAMRING, MANDA, DIKCHU, DZU, KHA RU, DZUCHA, TORSA, BEKI, BERENG, BHOGDOI, JHANJI, JIA
BHARALI, SANKOSH, SANUO RU, BOGINADI, RILANG, MYNTANG, TLAWNG, TUIRIAL, SERLUI,
VAIPUANPHO, TUIKUAL, SAKHISIH, DAMDIAI, CHITE, TUIRINI, TUIVAWL, LAWIBUAL, CHALLUI, MAT,
SIAKAH, CHHIMTUIPUI, TUIKUM, SESAH, PHE, TEIREI, TUT, TUICHHUAHEN, TIAU, TUIPUI, NONGAL,
SIMSANG, GANOL, DAMRING, WAIKHRWI, KWAI, TEIREI, KHAWTHLANGTUIPUI, NGENGPUI STREAM,
VANTAWNG, SDERKARIAH, LAITRYNGEW, WAHKHLEK KHLEK, WAHREW, UMNGI, RWIANG, KALIPAI,
KMAI UM, LUKHA, MYNTDU, LAMU, LYNRIANG, THLU UMWI, SIMSANG, TEESTA, SONAI, RANGANADI,
RANGIT, RANICHU, KAPILI, KAROLA, KATHAKAL, KHARSANG, KOHORA, KOLONG, KUNDLI, KUSHIARA,
MANU, NONBAH, KYNSHI, WAH BLEI, LOHIT, MANAS, MANEY KHOLA, GANOL TURA, MILAK, NAMCHIK,
NOA DIHING, PACHIN, PAGLDIA, PANCHNOI, POMA, YOMGO AND MORA",,,,,
5.2,,,"WATER QUALITY OF TRIBUTARY STREAMS - IMPHAL, IRIL, NAMBUL, KHUGA (TUITHA), KHUJAIROK,
SEKMAI, MANIPUR, MAHA, CHAKPI, WANGJING, THONGJAOROK, ETHAI, NAMBOL, IRANG, UMKHRAH,
UMSHYRPI, UMTREW, KULSI, PUTHIMARI, BARAK, BEEL, UMKHEN, KAKODONGA, TINGRAI, KALIANI,
DHANSIRI, UMIUREM, KUPLI, TEESTA, JALDHAKA, SILTORSA, RAIDAK, CHELIKHOLA, GOLAGHATI,
KYRHUHKHLA, MYNTDU, SIMSANG, UMIAM MAWPHLANG, UMNGOT, LUNAR, LUKHA, BUGI, BAROI, BEGA,
NUWA NOI, TOWKAK, SUFFRY, SESSA, JIADHAL KUMOTIYA, KUJI, KILLING, MADHURA, AIE, TUNIA,
JAMUNA, BONDANJAN, BASISTHA, PAMOHI GACHUK, KALANADI, RANGPO, RONGLI, DEO, BORDOWALI,
JURI AND MANU",,,,,
6,,,"WATER QUALITY OF RIVER MAHI AND ITS TRIBUTARY STREAMS - MAHI, ANAS, MALEI, PANAM, SHIVNA,
CHILLAR, JAMMER AND AJAB BOURALI",,,,,
,Table,,,Table,,,Page,
,No.,,,,,,No.,
7,,,"WATER QUALITY OF RIVER SABARMATI AND ITS TRIBUTARY STREAMS - SHEDHI, KHARI AND MESHWA",,,,,
8,,,WATER QUALITY OF RIVER NARMDA,,,,,
8.1,,,"WATER QUALITY OF TRIBUTARY STREAMS - CHOTA TAWA, GOUR, KATNI, KUNDA, SIMRAR, BANJAR AND
HIRAN",,,,,
9,,,WATER QUALITY OF RIVER TAPI,,,,,
9.1,,,"WATER QUALITY OF TRIBUTARY STREAMS - AMRAVATI, GOMAI, BURAI, KIM, DENWA, GIRNA,
RANGAVALI, BORI, HIWARA, MOR, TITUR, WAGHUR, PANZARA, PURNA AND PEDHI",,,,,
10,,,WATER QUALITY OF RIVER MAHANADI,,,,,
10.1,,,"WATER QUALITY OF TRIBUTARY STREAMS - SEONATH, BHEDEN, KHAROON, HASDEO, IB, SERUA,
KUAKHAI, DAYA, BIRUPA, ARPA, KELO, KATHAJODI, GOBARI, DEVI, GANGUA, KUSHABHADRA, MANGALA,
BHARGAVI, KANSARI, BADASANKHA, RATNACHIRA, NUNA NADI, KUSUMI NADI, SABULIA NADI,
RUSHIKULYA, TEL, BUDHABALANGA, ONG, RUSSELKUNDA RESERVOIR AND BADA NADI",,,,,
11(A),,,WATER QUALITY OF RIVER BAITARNI,,,,,
11(B),,,WATER QUALITY OF RIVER BRAHMANI,,,,,
11.1,,,"WATER QUALITY OF TRIBUTARY STREAMS - KHARASROTA, KISINDAJHOR, BANGURUSINGADA JHOR,
KARO, BADAJHOR, DAMASALA, TIKIRA, SINGDA JHOR, RAMIALA, KOEL, NORTH KOEL, SANKHA, NANDIRA,
LINGIRA AND BANGURU NALLAH",,,,,
12,,,WATER QUALITY OF RIVER GODAVARI,,,,,
12.1,,,"WATER QUALITY OF TRIBUTARY STREAMS - INDRAVATI, SHANKNI, MANJEERA, MANERU, WAINGANG,
WARDHA, KINNERASANI, SABARI, PENCH, KOLAR, KANHAN, BINDUSARA, DARNA, MANJRA, MORNA,
PENGANGA, WENA, GOSTANI, INDRAWATI, GAUTAMI-GODAVARI AND CORINGA",,,,,
13,,,WATER QUALITY OF RIVER KRISHNA,,,,,
13.1,,,"WATER QUALITY OF TRIBUTARY STREAMS BHIMA, KRISHNA, PANCHAGANGA",,,,,
13.2,,,"WATER QUALITY OF TRIBUTARY STREAMS - GHATAPRABHA, MALPRABHA, TUNGABHADRA, TUNGA,
BHADRA, MUSI, PALLERU, MUNERU, KAGINA, HUNDRI, MULA, MUTHA, NIRA, CHANDRABHAGA, VENNA,
KOYNA, PAWANA, INDRAYANI, GHOD, SINA, URMODI, VEL AND UPPUTERU",,,,,
,Table,,,Table,,,Page,
,No.,,,,,,No.,
14,,,WATER QUALITY OF TRIBUTARY STREAMS PENNAR,,,,,
15,,,WATER QUALITY OF RIVER CAUVERY,,,,,
15.1,,,"WATER QUALITY OF TRIBUTARY STREAMS – YAGACHI, HEMAVATHI, SHIMSHA, THIRUMANIMUTHAR,
VASISTA, AMRAVATI, AKRAVATHI, KABINI, LAKSHMANTIRTHA, SARABANGA, BHAVANI, ARASALAR,
PAPANASINI, KALINDI, ADYAR, COOUM, VENNAR AND VAIGAI",,,,,
16,,,WATER QUALITY OF RIVER SUBARNREKHA,,,,,
,Station,,,Name Of Monitoring,,,State,
,Code,,,Location,,,Name,
,,,,,,,,
,,,,,,,,
,Primary Water Quality Criteria (PWQC) notified,,,,,,,
,,,,,,,,
,"by MoEF & CC under E (P) Rules, 1986",,,,,,,
,,,,,,,,
1001,,,"RIVER BEAS AT U/S
MANALI",,,"HIMACHAL
PRADESH",,
2601,,,"RIVER BEAS AT D/S
MANALI",,,"HIMACHAL
PRADESH",,
4444,,,"RIVER BEAS D/S OF
WASTE PROCESSING
FACILITY AT MANALI",,,"HIMACHAL
PRADESH",,
4037,,,"RIVER BEAS D/S MANALSU
NALLAH",,,"HIMACHAL
PRADESH",,
3866,,,"RIVER BEAS U/S BEFORE
CONF. OF MANALSU
NALLAH",,,"HIMACHAL
PRADESH",,
2602,,,"RIVER BEAS, U/S KULLU",,,"HIMACHAL
PRADESH",,
4445,,,"RIVER BEAS D/S OF
WASTE PROCESSING
FACILITY AT KULLU",,,"HIMACHAL
PRADESH",,
1002,,,RIVER BEAS D/S KULLU,,,"HIMACHAL
PRADESH",,
1003,,,RIVER BEAS D/S AUT,,,"HIMACHAL
PRADESH",,
2603,,,"RIVER BEAS, D/S PANDOH
DAM",,,"HIMACHAL
PRADESH",,
1005,,,"RIVER BEAS AT EXIT OF
DEHAR POWER HOUSE",,,"HIMACHAL
PRADESH",,
1550,,,"BEAS RIVER, U/S OF
MANDI TOWN",,,"HIMACHAL
PRADESH",,
1006,,,"RIVER BEAS D/S MANDI
TOWN",,,"HIMACHAL
PRADESH",,
,Station,,,Name Of Monitoring,,,State,
,Code,,,Location,,,Name,
,,,,,,,,
,,,,,,,,
,Primary Water Quality Criteria (PWQC) notified,,,,,,,
,,,,,,,,
,"by MoEF & CC under E (P) Rules, 1986",,,,,,,
,,,,,,,,
2604,,,"RIVER BEAS AT D/S
JAISINGHPUR",,,"HIMACHAL
PRADESH",,
1007,,,"RIVER BEAS AT D/S
ALAMPUR",,,"HIMACHAL
PRADESH",,
3855,,,"RIVER BEAS D/S NADAUN
BRIDGE, VILL BHADOLI",,,"HIMACHAL
PRADESH",,
1009,,,"RIVER BEAS AT D/S PONG
DAM",,,"HIMACHAL
PRADESH",,
1008,,,"RIVER BEAS AT D/S
DEHRAGOPIPUR",,,"HIMACHAL
PRADESH",,
4435,,,"RIVER BEAS U/S
SUJANPUR TIHRA",,,"HIMACHAL
PRADESH",,
4436,,,"RIVER BEAS D/S
SUJANPUR TIHRA",,,"HIMACHAL
PRADESH",,
4437,,,"RIVER BEAS U/S NADAUM
TOWN",,,"HIMACHAL
PRADESH",,
4438,,,"RIVER BEAS D/S NADAUN
TOWN AFTER
CONFLUENCE OF MAAN
KHAD",,,"HIMACHAL
PRADESH",,
4443,,,RIVER BEAS AT RAISON,,,"HIMACHAL
PRADESH",,
30083,,,"RIVER BEAS AT TALWARA
(PONG DAM)",,,"HIMACHAL
PRADESH",,
30084,,,"RIVER BEAS AT D/S
CHANGARWA VILLAGE,
(PUNJAB)",,,PUNJAB,,
1693,,,"RIVER BEAS AT TALWARA
H/W, PUNJAB",,,PUNJAB,,
1694,,,"RIVER BEAS AT U/S
PATHANKOT, PUNJAB",,,PUNJAB,,
1010,,,"RIVER BEAS AT MIRTHAL
BRIDGE, GURDASPUR",,,PUNJAB,,
1695,,,"RIVER BEAS D/S
PATHANKOT, PUNJAB",,,PUNJAB,,
,Station,,,Name Of Monitoring,,,State,
,Code,,,Location,,,Name,
,,,,,,,,
,,,,,,,,
,Primary Water Quality Criteria (PWQC) notified,,,,,,,
,,,,,,,,
,"by MoEF & CC under E (P) Rules, 1986",,,,,,,
,,,,,,,,
1294,,,"RIVER BEAS AT 1KM.D/S
OF EFFL. DISH. POINT AT
MUKERIAN , PUNJAB",,,PUNJAB,,
1696,,,"RIVER BEAS U/S
GOINDWAL, PUNJAB",,,PUNJAB,,
1697,,,"RIVER BEAS AT HARIKE,
PUNJAB",,,PUNJAB,,
1011,,,"RIVER BEAS AT G.T. ROAD
UNDER BDG. NEAR
KAPURTHALA",,,PUNJAB,,
1012,,,"RIVER BEAS AT 100M D/S
INDUST. DISCH.
GOINDWAL",,,PUNJAB,,
4164,,,"RIVER BEAS RIVER, NR
VILL KIRI AFGHANA,
TEHSIL BATALA,
GURDASPUR",,,PUNJAB,,
,Station,,,Name Of Monitoring,,,State,
,Code,,,Location,,,Name,
,,,,,,,,
,,,,,,,,
,Primary Water Quality Criteria (PWQC) notified,,,,,,,
,,,,,,,,
,"by MoEF & CC under E (P) Rules, 1986",,,,,,,
,,,,,,,,
1867,,,"RIVER SUTLEJ BEFORE
CONF. WITH RIVER SPITI
AT KHAB",,,"HIMACHAL
PRADESH",,
2611,,,"RIVER SUTLEJ AFTER
CONF. WITH RIVER SPIT
AT KHAB",,,"HIMACHAL
PRADESH",,
3872,,,"RIVER SUTLEJ D/S TIDONG
HEP",,,"HIMACHAL
PRADESH",,
4448,,,"RIVER SUTLEJ BEFORE
CONFLUENCES WITH
RIVER TIDONG",,,"HIMACHAL
PRADESH",,
4449,,,"RIVER SUTLEJ AFTER
CONFLUENCES WITH
RIVER TIDONG",,,"HIMACHAL
PRADESH",,
4452,,,"RIVER SUTLEJ BEFORE
CONFLUENCES OF RIVER
BASPA",,,"HIMACHAL
PRADESH",,
3871,,,"RIVER SUTLEJ D/S POWER
HOUSE KASHANG HEP",,,"HIMACHAL
PRADESH",,
3870,,,"RIVER SUTLEJ AFTER
CONF. OF RIVER BASPA AT
KARCHAM DAM",,,"HIMACHAL
PRADESH",,
1389,,,"RIVER SUTLEJ AT
WANGTOO BRIDGE",,,"HIMACHAL
PRADESH",,
4453,,,"RIVER SUTLEJ AFTER
CONFLUENCES OF RIVER
BASPA",,,"HIMACHAL
PRADESH",,
