code,station,state,temp_min,temp_max,do_min,do_max,ph_min,ph_max,cond_min,cond_max,bod_min,bod_max,nitrate_min,nitrate_max,fecal_min,fecal_max,total_coli_min,total_coli_max,fecal_strep_min,fecal_strep_max,year,section_title,21,22,23
1001,BEAS U/S MANALI,HIMACHAL PRADESH,25,31,5.5,8,7.8,8.5,194,486,1.2,3,0.2,0.9,130,1300,840,3500,,,2016,Beas -,,,
2601,BEAS D/S MANALI,HIMACHAL PRADESH,5,19,7.6,10.1,7,8.4,88,152,0.1,0.3,0,1,11,43,70,280,,,2016,Beas -,,,
2602,BEAS U/S KULLU,HIMACHAL PRADESH,5,20,7.7,9.6,6.8,8.3,92,194,0.1,0.1,0,0.8,11,34,94,280,,,2016,Beas -,,,
1002,BEAS D/S KULU,HIMACHAL PRADESH,24,25,,,4.3,6.6,205,224,0.4,0.8,0.5,0.9,2.0,30,0,100,,,2016,Beas -,,,
1003,BEAS D/S AUT,HIMACHAL PRADESH,23,29,2.5,6.82,6.9,8.3,76,326,2,8.8,0.1,1.2,8,40,70,1600,,,2016,Beas -,,,
1005,BEAS EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,24,31,6,7.6,7.3,7.8,110,400,2,4,0.1,0.3,140,900,350,2400,,,2016,Beas -,,,
1550,BEAS U/S MANDI,HIMACHAL PRADESH,10,24,7.6,11.5,7.2,8.1,92,259,0.1,0.1,0,0.7,11,32,94,210,,,2016,Beas -,,,
1006,BEAS D/S MANDI,HIMACHAL PRADESH,10,26,7.5,11.6,7.2,8.2,121,342,0.1,0.2,0,1,17,63,130,540,,,2016,Beas -,,,
2604,BEAS D/S JAISINGHPUR,HIMACHAL PRADESH,13,19,7.5,8.7,7,8.6,165,453,0.3,2,0,0.2,6,17,170,280,,,2016,Beas -,,,
1007,BEAS D/S ALAMPUR,HIMACHAL PRADESH,15,20,7.1,8.4,6.7,8.7,167,454,0.4,1,0,0.3,5,14,140,280,,,2016,Beas -,,,
1009,BEAS D/S PONG DAM,HIMACHAL PRADESH,14,20,6.7,8.7,7.4,8.5,165,310,0.1,0.5,0,0.2,6,13,130,280,,,2016,Beas -,,,
1693,BEAS AT TALWARA H/W,PUNJAB,12,21,7.2,8.1,7.3,7.8,192,227,0.4,0.4,0.4,0.8,70,180,110,360,,,2016,Beas -,,,
1694,BEAS U/S PATHANKOT,PUNJAB,12,23,6,7.8,7,7.6,214,301,0.4,1.1,0.7,1.6,84,210,210,400,,,2016,Beas -,,,
1695,BEAS D/S PATHANKOT,PUNJAB,11,22,7,7.8,7.1,7.6,270,312,0.8,1.4,1.2,2.2,94,250,330,580,,,2016,Beas -,,,
1294,BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN,PUNJAB,10,22,5,6.4,7,7.5,296,372,2.2,3.8,1.4,2,170,270,430,790,,,2016,Beas -,,,
1011,BEAS AT G.T.ROAD UNDER BDG. NEAR KAPURTHALA,PUNJAB,11,21,7.3,7.8,7.2,7.6,198,288,0.7,1.3,0,2.4,110,180,260,430,,,2016,Beas -,,,
1696,BEAS U/S GOINDWAL,PUNJAB,12,23,7.2,7.6,7.2,7.8,234,284,0.7,1.6,1,2,110,210,220,610,,,2016,Beas -,,,
1012,BEAS 100M D/S INDUST. DISCH. GOINDWAL,PUNJAB,12,22,7.1,7.8,7,7.6,207,294,0.8,1.4,1.2,1.6,130,220,270,540,,,2016,Beas -,,,
1697,"BEAS AT HARIKE, PUNJAB",PUNJAB,12,23,7.4,7.8,7,7.7,224,282,0.6,1.4,1.3,1.8,110,180,220,360,,,2016,Beas -,,,
2603,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,10,20,7.7,12.8,6.5,8.3,95,202,0.1,0.1,0,1.1,17,49,140,350,,,2016,Beas -,,,
2913,EAST KALI BEIN FALLING INTO RIVER BEAS,PUNJAB,13,24,1.8,2.5,6.8,7.1,646,703,4.3,9,2.3,3.2,170,460,430,1700,,,2016,Beas -,,,
