code,station,state,temp_min,temp_max,do_min,do_max,ph_min,ph_max,cond_min,cond_max,bod_min,bod_max,nitrate_min,nitrate_max,fecal_min,fecal_max,total_coli_min,total_coli_max,fecal_strep_min,fecal_strep_max,year,section_title
1001,RIVER BEAS AT U/S MANALI,HIMACHAL PRADESH,4.0,14.0,7.9,9.7,7.2,8.0,80,270,1.0,1.0,0.30,0.72,2,110,25,540,2,2,2021,Beas
2601,RIVER BEAS AT D/S MANALI,HIMACHAL PRADESH,4.0,14.0,7.7,9.4,7.1,7.8,70,116,1.0,1.0,0.32,0.88,40,350,240,1600,2,2,2021,Beas
4444,RIVER BEAS D/S OF WPF AT MANALI,HIMACHAL PRADESH,3.0,13.0,7.7,9.8,6.9,7.9,49,88,1.0,1.0,0.32,0.92,94,920,430,1600,2,2,2021,Beas
4037,RIVER BEAS D/S MANALSU NALLAH,HIMACHAL PRADESH,4.0,13.0,7.8,9.9,6.9,7.9,45,94,1.0,1.0,0.32,0.82,33,140,170,430,2,2,2021,Beas
3866,RIVER BEAS BEFORE CONFLUENCE TO MANALSU NALLAH,HIMACHAL PRADESH,4.0,12.0,7.9,9.8,7.1,8.4,37,92,1.0,1.0,0.32,0.62,26,94,120,350,2,2,2021,Beas
2602,RIVER BEAS AT U/S KULLU,HIMACHAL PRADESH,6.0,16.0,5.8,9.1,7.3,8.1,67,127,1.0,1.0,0.32,1.22,70,140,350,920,2,2,2021,Beas
4445,RIVER BEAS D/S OF WPF AT KULLU,HIMACHAL PRADESH,5.0,15.0,7.8,8.8,7.2,7.9,67,233,1.0,1.0,0.32,1.62,79,920,430,1600,2,2,2021,Beas
1002,RIVER BEAS AT D/S KULU,HIMACHAL PRADESH,5.0,15.0,7.6,8.8,7.2,7.9,78,145,1.0,1.0,0.32,1.82,94,540,430,1600,2,2,2021,Beas
1003,RIVER BEAS AT D/S AUT,HIMACHAL PRADESH,8.0,14.0,7.5,8.8,6.9,8.1,62,120,1.0,1.0,0.32,0.92,47,220,280,920,2,2,2021,Beas
1004,RIVER BEAS AT U/S PANDOH DAM,HIMACHAL PRADESH,7.0,23.0,6.6,10.8,7.1,8.0,62,126,1.0,1.0,0.34,1.07,33,94,150,350,2,2,2021,Beas
2603,RIVER BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,7.0,23.0,8.2,10.3,6.9,8.0,82,188,1.0,1.0,0.32,1.92,58,140,280,540,2,2,2021,Beas
1005,RIVER BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,13.0,22.0,8.4,9.4,7.3,8.0,75,264,1.0,1.0,0.32,0.92,43,140,220,540,2,2,2021,Beas
1550,RIVER BEAS U/S MANDI,HIMACHAL PRADESH,7.0,23.0,8.4,11.2,7.3,8.2,71,180,1.0,1.0,0.40,1.73,21,70,110,280,2,2,2021,Beas
1006,RIVER BEAS AT D/S MANDI,HIMACHAL PRADESH,8.0,23.0,8.1,10.8,7.2,8.4,83,224,1.0,1.0,0.33,2.61,70,170,240,920,2,2,2021,Beas
2604,RIVER BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,16.0,26.0,8.4,9.5,7.3,8.2,118,392,1.0,1.0,0.40,3.10,2,2,27,39,2,2,2021,Beas
1007,RIVER BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,15.0,28.5,8.6,9.6,7.3,8.2,109,380,1.0,1.0,0.40,2.40,2,2,21,39,2,2,2021,Beas
3855,"RIVER BEAS D/S NADAUN BRIDGE, VILL BHADOLI",HIMACHAL PRADESH,20.0,29.0,7.6,9.3,7.4,8.1,167,431,1.0,1.0,0.30,1.44,2,2,24,34,2,2,2021,Beas
1009,RIVER BEAS AT D/S PONG DAM,HIMACHAL PRADESH,18.0,27.0,5.5,9.1,7.0,8.0,146,216,1.0,1.0,0.30,1.65,2,2,26,41,2,2,2021,Beas
1008,RIVER BEAS AT D/S DEHRAGOPIPUR,HIMACHAL PRADESH,20.0,26.0,7.2,9.3,7.1,8.1,141,544,1.0,1.0,0.30,1.10,2,2,17,41,2,2,2021,Beas
