year,code,station,state,section_title,pH,conductivity_uScm,BOD_mg_L,DO_mg_L,nitrate_mg_L,waterbody,date
2018,1002,"BEAS AT D/S KULU, H.P.",HIMACHAL PRADESH,Beas,8.0,149.0,0.25,8.600000000000001,0.6900000000000001,BEAS,2018-06-30
2018,1003,"BEAS AT D/S AUT, H.P.",HIMACHAL PRADESH,Beas,8.0,125.5,0.8500000000000001,9.15,0.715,BEAS,2018-06-30
2018,1004,"BEAS AT U/S PANDON DAM, H.P.",HIMACHAL PRADESH,Beas,7.9,150.5,0.2,9.8,0.64,BEAS,2018-06-30
2018,1005,"BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE, H.P.",HIMACHAL PRADESH,Beas,8.15,202.0,0.25,10.05,0.37,BEAS,2018-06-30
2018,1006,"BEAS AT D/S MANDI, H.P.",HIMACHAL PRADESH,Beas,8.0,201.5,0.25,9.45,0.505,BEAS,2018-06-30
2018,1007,"BEAS AT D/S ALAMPUR, H.P.",HIMACHAL PRADESH,Beas,7.6000000000000005,270.0,0.45,7.949999999999999,0.785,BEAS,2018-06-30
2018,1008,"BEAS AT D/S DEHRAGOPIPUR, H.P.",HIMACHAL PRADESH,Beas,7.800000000000001,294.5,0.45,7.699999999999999,1.31,BEAS,2018-06-30
2018,1009,"BEAS AT D/S PONG DAM, H.P.",HIMACHAL PRADESH,Beas,7.55,340.5,0.25,7.8500000000000005,1.475,BEAS,2018-06-30
2018,1550,"U/S MANDI, H.P",HIMACHAL PRADESH,Beas,7.95,148.5,0.1,9.0,0.515,Beas,2018-06-30
2018,2601,BEAS AT D/S MANALI,HIMACHAL PRADESH,Beas,8.05,124.0,0.25,7.85,0.57,BEAS,2018-06-30
2018,2602,BEAS AT U/S KULLU,HIMACHAL PRADESH,Beas,8.05,410.5,0.2,8.65,0.645,BEAS,2018-06-30
2018,2603,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,Beas,7.7,147.5,0.25,9.05,0.64,BEAS,2018-06-30
2018,2604,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,Beas,7.6000000000000005,272.5,0.44999999999999996,7.85,0.77,BEAS,2018-06-30
2018,3855,"RIVER BEAS D/S NADAUN BRIDGE, VILL BHADOLI",HIMACHAL PRADESH,Beas,7.95,322.0,0.35,7.6,1.3599999999999999,BEAS,2018-06-30
2018,1010,"BEAS AT MIRTHAL BRIDGE, GURDASPUR, PUNJAB",PUNJAB,Beas,7.699999999999999,278.0,1.2,7.55,0.95,BEAS,2018-06-30
2018,1011,"BEAS AT G.T. ROAD UNDER BDG. NEAR KAPURTHALA, PUNJA",PUNJAB,Beas,7.6,235.0,1.4,7.4,1.1,BEAS,2018-06-30
2018,1012,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL PUNJAB,PUNJAB,Beas,7.550000000000001,239.5,1.45,7.65,1.15,BEAS,2018-06-30
2018,1294,"BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN ,",PUNJAB,Beas,7.6,267.0,2.05,7.1,1.35,BEAS,2018-06-30
2018,1693,"BEAS AT TALWARA H/W, PUNJAB",PUNJAB,Beas,7.5,226.0,0.55,7.8,0.55,BEAS,2018-06-30
2018,1694,"U/S PATHANKOT, PUNJAB",PUNJAB,Beas,7.65,232.0,0.7,7.45,0.95,Beas,2018-06-30
2018,1695,"D/S PATHANKOT, PUNJAB",PUNJAB,Beas,7.55,254.0,1.55,7.1,1.3,Beas,2018-06-30
2018,1696,"U/S GOINDWAL, PUNJAB",PUNJAB,Beas,7.6,229.0,1.3,7.65,1.1,Beas,2018-06-30
2018,1697,"BEAS AT HARIKE, PUNJAB",PUNJAB,Beas,7.6,251.0,1.5499999999999998,7.5,1.0499999999999998,BEAS,2018-06-30
2018,2913,"KALI BEIN FALLING INTO RIVER BEAS, PUNJAB",PUNJAB,Beas,7.4,425.0,3.85,5.199999999999999,1.6,Beas,2018-06-30
2018,4164,"BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA",PUNJAB,Beas,7.6,299.5,1.6,7.25,1.3,Beas,2018-06-30
2018,4165,"BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA",PUNJAB,Beas,8.2,1645.0,1.5499999999999998,5.45,2.8,Beas,2018-06-30
2018,2611,SUTLEJ AT KHAB,HIMACHAL PRADESH,Sutlej,7.95,199.5,0.9500000000000001,9.75,0.9400000000000001,SUTLEJ,2018-06-30
2018,1389,"SUTLEJ AT NEPTHA ZAKHAI, H.P",HIMACHAL PRADESH,Sutlej,7.65,148.5,1.1500000000000001,9.2,6.9,SUTLEJ,2018-06-30
2018,1086,"SUTLEJ AT U/S RAMPUR, H.P.",HIMACHAL PRADESH,Sutlej,,147.5,1.05,8.8,6.59,SUTLEJ,2018-06-30
2018,1087,"SUTLEJ AT D/S RAMPUR, H.P.",HIMACHAL PRADESH,Sutlej,7.85,136.5,1.0,8.8,3.565,SUTLEJ,2018-06-30
2018,1013,"SUTLEJ AT U/S TATAPANI, H.P.",HIMACHAL PRADESH,Sutlej,7.8,170.5,0.9,8.5,0.86,SUTLEJ,2018-06-30
2018,1014,"SUTLEJ AT U/S SLAPPER, H.P.",HIMACHAL PRADESH,Sutlej,8.0,217.0,0.1,10.85,0.34,SUTLEJ,2018-06-30
2018,1015,"SUTLEJ AT D/S SLAPPER, H.P.",HIMACHAL PRADESH,Sutlej,8.15,214.5,0.15000000000000002,10.850000000000001,0.305,SUTLEJ,2018-06-30
2018,1016,"SUTLEJ AT D/S BHAKHRA, H.P.",HIMACHAL PRADESH,Sutlej,7.65,227.5,0.25,7.5,0.87,SUTLEJ,2018-06-30
2018,1017,"SUTLEJ AT 100M U/S OF HEADWORKS, NANGAL, PUNJAB",PUNJAB,Sutlej,7.75,256.5,0.6,8.3,0.5,SUTLEJ,2018-06-30
2018,1018,"SUTLEJ AT 100M D/S , NANGAL, PUNJAB",PUNJAB,Sutlej,7.65,272.0,1.0,8.05,0.6000000000000001,SUTLEJ,2018-06-30
2018,1293,"SUTLEJ AT 1 KM. D/S OF ZENITH, PUNJAB",PUNJAB,Sutlej,7.6499999999999995,373.5,1.3,7.85,0.7,SUTLEJ,2018-06-30
2018,1814,"SUTLEJ AT D/S KIRATPUR SAHIB, PUNJAB",PUNJAB,Sutlej,7.949999999999999,324.5,1.0,7.9,0.8,SUTLEJ,2018-06-30
2018,1019,"SUTLEJ AT U/S HEAD WORKS ROPAR, PUNJAB",PUNJAB,Sutlej,7.6499999999999995,313.0,1.0,8.2,0.5,SUTLEJ,2018-06-30
2018,1380,"SUTLEJ AT D/S NFL, PUNJAB",PUNJAB,Sutlej,7.85,307.5,1.0,7.9,1.525,SUTLEJ,2018-06-30
2018,1690,"U/S BUDHA NALLAH (UPPER), PUNJAB",PUNJAB,Sutlej,7.6499999999999995,432.5,2.5,6.7,1.0,Sutlej,2018-06-30
2018,1020,"SUTLEJ AT 100M D/S BUDHA NALA CONFL., LUDHIANA",PUNJAB,Sutlej,7.449999999999999,1199.0,64.5,3.0,4.645,SUTLEJ,2018-06-30
2018,1021,"SUTLEJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHA",PUNJAB,Sutlej,7.4,794.0,38.0,5.0,1.9,SUTLEJ,2018-06-30
2018,1381,"SUTLEJ AT D/S EAST BASIN, PUNJAB",PUNJAB,Sutlej,7.5,697.0,17.4,5.25,1.4,SUTLEJ,2018-06-30
2018,1691,"U/S HUSSANIWALA - H/W FEROZEPUR, PUNJAB",PUNJAB,Sutlej,7.75,368.5,1.45,6.45,0.7,Sutlej,2018-06-30
2018,1692,"D/S HUSSANIWALA-H/W FEROZEPUR, PUNJAB",PUNJAB,Sutlej,7.75,366.5,1.5,6.35,0.75,Sutlej,2018-06-30
2018,1022,"SUTLEJ AT BRIDGE HARIKE, AMRITSAR, PUNJAB",PUNJAB,Sutlej,7.699999999999999,380.5,4.0,5.55,1.15,SUTLEJ,2018-06-30
2018,2915,"100 MT. D/S OF PACL, NANGAL, PUNJAB",PUNJAB,Sutlej,7.8,324.0,1.0,7.8500000000000005,1.345,Sutlej,2018-06-30
2018,1307,"CHUNT KOL (MAULANA AZAD BRIDGE), J&K",JAMMU & KASHMIR,Sutlej,7.65,424.0,8.15,3.7,,Sutlej,2018-06-30
2018,2614,RAVI AT CHAMERA RESERVOIR,HIMACHAL PRADESH,Sutlej,7.6499999999999995,164.0,0.25,8.6,0.64,RAVI,2018-06-30
