station,state,river,pH,TDS_mg_L,turbidity_NTU,district,latitude,longitude,code,date
,,NAN,7.5,,,,,,,2019-06-30
BEAS AT U/S MANALI,"HIMACHAL
PRADESH",BEAS,7.3,,,,,,1001,2019-06-30
"RIVER BEAS D/S OF WPF AT
MANALI","HIMACHAL
PRADESH",RIVER,7.3,,,,,,4444,2019-06-30
"RIVER BEAS D/S MANALSU
NALLAH","HIMACHAL
PRADESH",RIVER,7.0,,,,,,4037,2019-06-30
BEAS AT D/S MANALI,"HIMACHAL
PRADESH",BEAS,6.9,,,,,,2601,2019-06-30
BEAS AT U/S KULLU,"HIMACHAL
PRADESH",BEAS,7.0,,,,,,2602,2019-06-30
"RIVER BEAS D/S OF WPF AT
KULLU","HIMACHAL
PRADESH",RIVER,7.5,,,,,,4445,2019-06-30
BEAS AT D/S KULU,"HIMACHAL
PRADESH",BEAS,7.4,,,,,,1002,2019-06-30
BEAS AT D/S AUT,"HIMACHAL
PRADESH",BEAS,7.3,,,,,,1003,2019-06-30
BEAS AT U/S PANDOH DAM,"HIMACHAL
PRADESH",BEAS,7.5,,,,,,1004,2019-06-30
BEAS AT D/S PANDOH DAM,"HIMACHAL
PRADESH",BEAS,7.2,,,,,,2603,2019-06-30
"BEAS AT EXIT OF TUNNEL
DEHAL POWER HOUSE","HIMACHAL
PRADESH",BEAS,7.8,,,,,,1005,2019-06-30
BEAS U/S MANDI,"HIMACHAL
PRADESH",BEAS,7.7,,,,,,1550,2019-06-30
BEAS AT D/S MANDI,"HIMACHAL
PRADESH",BEAS,7.6,,,,,,1006,2019-06-30
BEAS AT D/S JAISINGHPUR,"HIMACHAL
PRADESH",BEAS,7.4,,,,,,2604,2019-06-30
BEAS AT D/S ALAMPUR,"HIMACHAL
PRADESH",BEAS,7.5,,,,,,1007,2019-06-30
"BEAS D/S NADAUN BRIDGE,
VILL BHADOLI","HIMACHAL
PRADESH",BEAS,7.3,,,,,,3855,2019-06-30
,,NAN,7.5,,,,,,,2019-06-30
BEAS AT D/S PONG DAM,"HIMACHAL
PRADESH",BEAS,7.18,,,,,,1009,2019-06-30
BEAS AT D/S DEHRAGOPIPUR,"HIMACHAL
PRADESH",BEAS,7.25,,,,,,1008,2019-06-30
"RIVER BEAS U/S SUJANPUR
TIHRA","HIMACHAL
PRADESH",RIVER,7.7,,,,,,4435,2019-06-30
"RIVER BEAS D/S SUJANPUR
TIHRA","HIMACHAL
PRADESH",RIVER,8.0,,,,,,4436,2019-06-30
"RIVER BEAS U/S NADAUM
TOWN","HIMACHAL
PRADESH",RIVER,7.7,,,,,,4437,2019-06-30
"RIVER BEAS D/S NADAUN
TOWN AFTER CONFLUENCE OF
MAAN KHAD","HIMACHAL
PRADESH",RIVER,7.2,,,,,,4438,2019-06-30
RIVER BEAS AT RAISON,"HIMACHAL
PRADESH",RIVER,7.3,,,,,,4443,2019-06-30
"BEAS AT TALWARA (PONG
DAM)","HIMACHAL
PRADESH",BEAS,8.0,,,,,,30083,2019-06-30
"BEAS AT D/S CHANGARWA
VILLAGE, (PUNJAB)",PUNJAB,BEAS,8.0,,,,,,30084,2019-06-30
"BEAS AT TALWARA H/W,
PUNJAB",PUNJAB,BEAS,7.3,,,,,,1693,2019-06-30
"BEAS AT U/S PATHANKOT,
PUNJAB",PUNJAB,BEAS,7.6,,,,,,1694,2019-06-30
"BEAS AT MIRTHAL BRIDGE,
GURDASPUR",PUNJAB,BEAS,7.4,,,,,,1010,2019-06-30
