station,state,river,pH,TDS_mg_L,turbidity_NTU,district,latitude,longitude,code,date
,,NAN,7.5,,,,,,,2018-06-30
"BEAS AT D/S KULU, H.P.",,BEAS,7.8,,,,,,1002,2018-06-30
"BEAS AT D/S AUT, H.P.",,BEAS,7.6,,,,,,1003,2018-06-30
,,NAN,7.3,,,,,,1004,2018-06-30
,"HIMACHAL
PRADESH",NAN,7.9,,,,,,1005,2018-06-30
"BEAS AT D/S MANDI, H.P.",,BEAS,7.7,,,,,,1006,2018-06-30
,,NAN,6.9,,,,,,1007,2018-06-30
"BEAS AT D/S
DEHRAGOPIPUR, H.P.","HIMACHAL
PRADESH",BEAS,7.2,,,,,,1008,2018-06-30
,,NAN,6.9,,,,,,1009,2018-06-30
"U/S MANDI, H.P",,U,7.6,,,,,,1550,2018-06-30
BEAS AT D/S MANALI,,BEAS,7.6,,,,,,2601,2018-06-30
BEAS AT U/S KULLU,,BEAS,7.8,,,,,,2602,2018-06-30
,,NAN,7.0,,,,,,2603,2018-06-30
,,NAN,6.9,,,,,,2604,2018-06-30
"RIVER BEAS D/S NADAUN
BRIDGE, VILL BHADOLI","HIMACHAL
PRADESH",RIVER,7.4,,,,,,3855,2018-06-30
"BEAS AT MIRTHAL
BRIDGE, GURDASPUR,
PUNJAB",PUNJAB,BEAS,7.3,,,,,,1010,2018-06-30
"BEAS AT G.T. ROAD
UNDER BDG. NEAR
KAPURTHALA, PUNJA",PUNJAB,BEAS,7.1,,,,,,1011,2018-06-30
,PUNJAB,NAN,7.0,,,,,,1012,2018-06-30
,PUNJAB,NAN,6.8,,,,,,1294,2018-06-30
,PUNJAB,NAN,7.5,,,,,,1693,2018-06-30
"U/S PATHANKOT, PUNJAB",PUNJAB,U,7.0,,,,,,1694,2018-06-30
"D/S PATHANKOT, PUNJAB",PUNJAB,D,6.6,,,,,,1695,2018-06-30
"U/S GOINDWAL, PUNJAB",PUNJAB,U,7.4,,,,,,1696,2018-06-30
"BEAS AT HARIKE, PUNJAB",PUNJAB,BEAS,6.7,,,,,,1697,2018-06-30
"KALI BEIN FALLING INTO
RIVER BEAS, PUNJAB",PUNJAB,KALI,4.1,,,,,,2913,2018-06-30
,PUNJAB,NAN,7.1,,,,,,4164,2018-06-30
,PUNJAB,NAN,4.5,,,,,,4165,2018-06-30
,PUNJAB,NAN,7.4,,,,,,1380,2018-06-30
,PUNJAB,NAN,6.2,,,,,,1690,2018-06-30
"SUTLEJ AT 100M D/S
BUDHA NALA CONFL.,
LUDHIANA",PUNJAB,SUTLEJ,1.4,,,,,,1020,2018-06-30
"SUTLEJ AT BOAT BDG.
DHARMKOTNAKODAR
ROAD, JALANDHA",PUNJAB,SUTLEJ,3.0,,,,,,1021,2018-06-30
,PUNJAB,NAN,3.0,,,,,,1381,2018-06-30
,PUNJAB,NAN,4.9,,,,,,1691,2018-06-30
,PUNJAB,NAN,4.7,,,,,,1692,2018-06-30
,PUNJAB,NAN,4.1,,,,,,1022,2018-06-30
"100 MT. D/S OF PACL,
NANGAL, PUNJAB",PUNJAB,,7.4,,,,,,2915,2018-06-30
,,NAN,7.5,,,,,,,2018-06-30
,"JAMMU &
KASHMIR",NAN,7.3,,,,,,1307,2018-06-30
"RAVI AT CHAMERA
RESERVOIR","HIMACHAL
PRADESH",RAVI,7.1,,,,,,2614,2018-06-30
,,NAN,7.4,,,,,,2615,2018-06-30
,,NAN,7.1,,,,,,2613,2018-06-30
"RAVI AT U/S OF
MADHOPUR
HEADWORKS,
GURDASPUR, PUNJ",PUNJAB,RAVI,7.4,,,,,,1097,2018-06-30
