station,2016,2017,2018,2019,2020,2021,2022
"BANGANGA (BATHING GHAT), KATRA,",,8.100000000000001,,,,,
BARAGRAM NALLAH BEFORE CONFLUENCE TO RIVER BEAS,,,,,7.5,,
"BASANTER US (R.H.S) SAMBA (BELOW NH1A BRIDGE),",,8.3,,,,,
BASANTER)D/S(R.H.S.) SAMBA (AT CHAK MANGA GUJJAR,,7.949999999999999,,,,,
BEAS 100M D/S INDUST. DISCH. GOINDWAL,7.3,,,,,,
BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,,7.25,,7.8,7.85,,
BEAS AT 100M D/S INDUST. DISCH. GOINDWAL PUNJAB,,,7.550000000000001,,,,
BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN,7.25,,,,,,
"BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN ,",,,7.6,,7.8,,
"BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN , PUNJAB",,7.25,,7.75,,,
BEAS AT D/S ALAMPUR,,7.945,,7.8,7.85,,
"BEAS AT D/S ALAMPUR, H.P.",,,7.6,,,,
BEAS AT D/S AUT,,7.515,,7.699999999999999,7.449999999999999,,
"BEAS AT D/S AUT, H.P.",,,8.0,,,,
"BEAS AT D/S CHANGARWA VILLAGE, (PUNJAB)",,,,8.0,7.2,,
BEAS AT D/S DEHRAGOPIPUR,,7.785,,7.625,7.85,,
"BEAS AT D/S DEHRAGOPIPUR, H.P.",,,7.800000000000001,,,,
BEAS AT D/S JAISINGHPUR,,8.0,7.6,8.0,7.949999999999999,,
BEAS AT D/S KULU,,7.46,,7.9,7.65,,
"BEAS AT D/S KULU, H.P.",,,8.0,,,,
BEAS AT D/S MANALI,,7.3,8.05,7.55,7.35,,
BEAS AT D/S MANDI,,7.795,,8.05,7.949999999999999,,
"BEAS AT D/S MANDI, H.P.",,,8.0,,,,
BEAS AT D/S PANDOH DAM,7.4,7.800000000000001,7.7,7.65,7.8,,
BEAS AT D/S PONG DAM,,7.76,,7.54,7.4,,
"BEAS AT D/S PONG DAM, H.P.",,,7.55,,,,
BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,,8.004999999999999,,8.2,7.95,,
"BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE, H.P.",,,8.15,,,,
BEAS AT G.T. ROAD UNDER BDG. NEAR KAPURTHALA,,,,7.75,,,
"BEAS AT G.T. ROAD UNDER BDG. NEAR KAPURTHALA, PUNJA",,,7.6,,,,
BEAS AT G.T.ROAD UNDER BDG. NEAR KAPURTHALA,7.4,7.35,,,,,
"BEAS AT HARIKE, PUNJAB",7.35,7.15,7.6,7.699999999999999,7.949999999999999,,
"BEAS AT MIRTHAL BRIDGE, GURDASPUR",,7.3,,7.7,7.8,,
"BEAS AT MIRTHAL BRIDGE, GURDASPUR, PUNJAB",,,7.699999999999999,,,,
BEAS AT TALWARA (PONG DAM),,,,8.0,8.1,,
BEAS AT TALWARA H/W,7.55,,,,,,
"BEAS AT TALWARA H/W, PUNJAB",,7.2,7.5,7.6,7.8,,
BEAS AT U/S KULLU,,7.75,8.05,7.8,7.6,,
BEAS AT U/S MANALI,,7.57,,7.85,7.8,,
BEAS AT U/S PANDOH DAM,,,,7.95,,,
BEAS AT U/S PANDON DAM,,7.695,,,7.55,,
"BEAS AT U/S PANDON DAM, H.P.",,,7.9,,,,
"BEAS AT U/S PATHANKOT, PUNJAB",,7.1,,7.85,7.65,,
BEAS D/S ALAMPUR,7.699999999999999,,,,,,
BEAS D/S AUT,7.6,,,,,,
BEAS D/S JAISINGHPUR,7.8,,,,,,
BEAS D/S KULU,5.449999999999999,,,,,,
BEAS D/S MANALI,7.7,,,,,,
BEAS D/S MANDI,7.699999999999999,,,,,,
"BEAS D/S NADAUN BRIDGE, VILL BHADOLI",,7.95,,7.699999999999999,7.85,,
BEAS D/S PATHANKOT,7.35,,,,,,
"BEAS D/S PATHANKOT, PUNJAB",,7.15,,8.0,7.75,,
BEAS D/S PONG DAM,7.95,,,,,,
BEAS EXIT OF TUNNEL DEHAL POWER HOUSE,7.55,,,,,,
"BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA",,,7.8999999999999995,,,,
"BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA, GURDASPUR",,,,7.550000000000001,7.85,,
"BEAS RIVER, U/S OF MANDI TOWN",,,,,,,8.08
BEAS U/S GOINDWAL,7.5,,,,,,
"BEAS U/S GOINDWAL, PUNJAB",,7.3,,,7.949999999999999,,
BEAS U/S KULLU,7.550000000000001,,,,,,
BEAS U/S MANALI,8.15,,,,,,
BEAS U/S MANDI,7.65,7.649999999999999,,8.05,7.649999999999999,,
BEAS U/S PATHANKOT,7.3,,,,,,
CHUNT KOL (MAULANA AZAD BRIDGE),,7.45,,,,,
"D/S PATHANKOT, PUNJAB",,,7.55,,,,
DEVAK RIVERUDHAMPUR(NEAR SHIV MANDIRD/S)L.H.S.,,8.0,,,,,
EAST KALI BEIN FALLING INTO RIVER BEAS,6.949999999999999,,,,,,
"GAWKADAL, SRG (SHERGHARI, SRG)",,7.65,,,,,
"JHELUM RIVER ATSPORE, CONFLUENCE POINT OF WULAR LAKE",,7.699999999999999,,,,,
"KALI BEIN FALLING INTO RIVER BEAS, PUNJAB",,,7.4,,,,
"LIDDER NALLAH NERA BUMZOO, ANANTNAG",,7.65,,,,,
MANALSU NALLAH BEFORE CONFLUENCE TO RIVER BEAS,,,,,7.75,,
PARVATI BEFORE CONF. TO RIVER BEAS,,7.6,,,,,
RIVER BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,,,,,,7.949999999999999,7.949999999999999
"RIVER BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN , PUNJAB",,,,,,7.75,7.75
RIVER BEAS AT D/S ALAMPUR,,,,,,7.75,7.819999999999999
RIVER BEAS AT D/S AUT,,,,,,7.5,
"RIVER BEAS AT D/S CHANGARWA VILLAGE, (PUNJAB)",,,,,,,8.15
RIVER BEAS AT D/S DEHRAGOPIPUR,,,,,,7.6,7.779999999999999
RIVER BEAS AT D/S JAISINGHPUR,,,,,,7.75,7.765000000000001
RIVER BEAS AT D/S KULU,,,,,,7.550000000000001,
RIVER BEAS AT D/S MANALI,,,,,,7.449999999999999,7.77
RIVER BEAS AT D/S MANDI,,,,,,7.800000000000001,
RIVER BEAS AT D/S PANDOH DAM,,,,,,7.45,
RIVER BEAS AT D/S PONG DAM,,,,,,7.5,7.625
RIVER BEAS AT EXIT OF DEHAR POWER HOUSE,,,,,,,7.745
RIVER BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,,,,,,7.65,
RIVER BEAS AT G.T. ROAD UNDER BDG. NEAR KAPURTHALA,,,,,,7.699999999999999,7.899999999999999
"RIVER BEAS AT HARIKE, PUNJAB",,,,,,7.85,7.8
"RIVER BEAS AT MIRTHAL BRIDGE, GURDASPUR",,,,,,8.0,8.0
RIVER BEAS AT RAISON,,,,7.75,7.6,7.65,7.815
RIVER BEAS AT TALWARA (PONG DAM),,,,,,,8.5
"RIVER BEAS AT TALWARA H/W, PUNJAB",,,,,,7.9,7.85
RIVER BEAS AT U/S KULLU,,,,,,7.699999999999999,
RIVER BEAS AT U/S MANALI,,,,,,7.6,7.75
RIVER BEAS AT U/S PANDOH DAM,,,,,,7.55,
"RIVER BEAS AT U/S PATHANKOT, PUNJAB",,,,,,7.75,8.05
RIVER BEAS BEFORE CONFLUENCE TO MANALSU NALLAH,,,,,,7.75,
RIVER BEAS D/S AUT,,,,,,,7.895
RIVER BEAS D/S KULLU,,,,,,,7.95
RIVER BEAS D/S MANALSU NALLAH,,,,7.65,7.35,7.4,7.76
RIVER BEAS D/S MANDI TOWN,,,,,,,8.035
"RIVER BEAS D/S NADAUN BRIDGE, VILL BHADOLI",,,7.95,,,7.75,7.765000000000001
RIVER BEAS D/S NADAUN TOWN AFTER CONFLUENCE OF MAAN KHAD,,,,7.6,7.9,7.65,7.67
RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT KULLU,,,,,,,8.005
RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT MANALI,,,,,,,7.800000000000001
RIVER BEAS D/S OF WPF AT KULLU,,,,7.75,7.6,7.550000000000001,
RIVER BEAS D/S OF WPF AT MANALI,,,,7.699999999999999,7.35,7.4,
"RIVER BEAS D/S PATHANKOT, PUNJAB",,,,,,7.85,8.1
RIVER BEAS D/S SUJANPUR TIHRA,,,,8.1,8.05,7.55,7.9
"RIVER BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA, GURDASPUR",,,,,,7.899999999999999,7.8
RIVER BEAS U/S BEFORE CONF. OF MANALSU NALLAH,,,,,,,7.865
"RIVER BEAS U/S GOINDWAL, PUNJAB",,,,,,8.0,8.0
RIVER BEAS U/S MANDI,,,,,,7.75,
RIVER BEAS U/S NADAUM TOWN,,,,7.9,7.800000000000001,7.65,7.68
RIVER BEAS U/S SUJANPUR TIHRA,,,,7.9,7.649999999999999,7.55,7.805
"RIVER BEAS, D/S PANDOH DAM",,,,,,,8.08
"RIVER BEAS, U/S KULLU",,,,,,,7.984999999999999
RIVER PARVATI BEFORE CONF. TO RIVER BEAS AT BHUNTER,,,,,,,7.86
SARVARI NALLAH BEFORE CONFLUENCE TO RIVER BEAS,,,,,7.4,,
"SIRSA RIVER , U/S SITOMAJRI NALLAHGARH",,7.699999999999999,,,,,
"SIRSA RIVER, D/S NALAGARH BRIDGE",,7.25,,,,,
TAWI BAGHWATI NAGAR (2KM D/S TAWI BRIDGE,,8.2,,,,,
TAWI BELOW TAWI BRIDGE,,8.25,,,,,
"U/S GOINDWAL, PUNJAB",,,7.6,,,,
"U/S MANDI, H.P",,,7.95,,,,
"U/S PATHANKOT, PUNJAB",,,7.65,,,,
