year,code,station,state,section_title,pH,conductivity_uScm,BOD_mg_L,DO_mg_L,nitrate_mg_L,waterbody,date,bis_status,bis_reasons,pH_dev
2016,1001,BEAS U/S MANALI,HIMACHAL PRADESH,Beas,8.15,340.0,2.1,6.75,0.55,BEAS,2016-06-30,SAFE,Within acceptable limits,0.0
2016,2601,BEAS D/S MANALI,HIMACHAL PRADESH,Beas,7.7,120.0,0.2,8.85,0.5,BEAS,2016-06-30,SAFE,Within acceptable limits,0.0
2016,2602,BEAS U/S KULLU,HIMACHAL PRADESH,Beas,7.550000000000001,143.0,0.1,8.65,0.4,BEAS,2016-06-30,SAFE,Within acceptable limits,0.0
2016,1002,BEAS D/S KULU,HIMACHAL PRADESH,Beas,5.449999999999999,214.5,0.6000000000000001,,0.7,BEAS,2016-06-30,UNSAFE,pH outside 6.5–8.5 (BIS IS 10500),1.0500000000000007
2016,1003,BEAS D/S AUT,HIMACHAL PRADESH,Beas,7.6,201.0,5.4,4.66,0.65,BEAS,2016-06-30,SAFE,Within acceptable limits,0.0
2016,1005,BEAS EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,Beas,7.55,255.0,3.0,6.8,0.2,Beas,2016-06-30,SAFE,Within acceptable limits,0.0
2016,1550,BEAS U/S MANDI,HIMACHAL PRADESH,Beas,7.65,175.5,0.1,9.55,0.35,BEAS,2016-06-30,SAFE,Within acceptable limits,0.0
2016,1006,BEAS D/S MANDI,HIMACHAL PRADESH,Beas,7.699999999999999,231.5,0.15,9.55,0.5,BEAS,2016-06-30,SAFE,Within acceptable limits,0.0
2016,2604,BEAS D/S JAISINGHPUR,HIMACHAL PRADESH,Beas,7.8,309.0,1.15,8.1,0.1,BEAS,2016-06-30,SAFE,Within acceptable limits,0.0
2016,1007,BEAS D/S ALAMPUR,HIMACHAL PRADESH,Beas,7.699999999999999,310.5,0.7,7.75,0.15,BEAS,2016-06-30,SAFE,Within acceptable limits,0.0
2016,1009,BEAS D/S PONG DAM,HIMACHAL PRADESH,Beas,7.95,237.5,0.3,7.699999999999999,0.1,BEAS,2016-06-30,SAFE,Within acceptable limits,0.0
2016,1693,BEAS AT TALWARA H/W,PUNJAB,Beas,7.55,209.5,0.4,7.65,0.6000000000000001,BEAS,2016-06-30,SAFE,Within acceptable limits,0.0
2016,1694,BEAS U/S PATHANKOT,PUNJAB,Beas,7.3,257.5,0.75,6.9,1.15,BEAS,2016-06-30,SAFE,Within acceptable limits,0.0
