station,state,pH,pH_dev,bis_status,bis_reasons
BEAS D/S KULU,HIMACHAL PRADESH,5.449999999999999,1.0500000000000007,UNSAFE,pH outside 6.5–8.5 (BIS IS 10500)
BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,7.85,0.0,SAFE,Within acceptable limits
BARAGRAM NALLAH BEFORE CONFLUENCE TO RIVER BEAS,HIMACHAL PRADESH,7.5,0.0,SAFE,Within acceptable limits
BEAS AT D/S AUT,HIMACHAL PRADESH,7.449999999999999,0.0,SAFE,Within acceptable limits
"BEAS AT D/S AUT, H.P.",HIMACHAL PRADESH,8.0,0.0,SAFE,Within acceptable limits
BEAS AT D/S DEHRAGOPIPUR,HIMACHAL PRADESH,7.85,0.0,SAFE,Within acceptable limits
"BEAS AT D/S ALAMPUR, H.P.",HIMACHAL PRADESH,7.6,0.0,SAFE,Within acceptable limits
BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,7.949999999999999,0.0,SAFE,Within acceptable limits
BEAS AT D/S KULU,HIMACHAL PRADESH,7.65,0.0,SAFE,Within acceptable limits
"BEAS AT D/S KULU, H.P.",HIMACHAL PRADESH,8.0,0.0,SAFE,Within acceptable limits
BEAS AT D/S MANALI,HIMACHAL PRADESH,7.35,0.0,SAFE,Within acceptable limits
BEAS AT D/S MANDI,HIMACHAL PRADESH,7.949999999999999,0.0,SAFE,Within acceptable limits
"BEAS AT D/S MANDI, H.P.",HIMACHAL PRADESH,8.0,0.0,SAFE,Within acceptable limits
BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,7.8,0.0,SAFE,Within acceptable limits
"BEAS AT D/S DEHRAGOPIPUR, H.P.",HIMACHAL PRADESH,7.800000000000001,0.0,SAFE,Within acceptable limits
BEAS AT D/S PONG DAM,HIMACHAL PRADESH,7.4,0.0,SAFE,Within acceptable limits
"BEAS AT D/S PONG DAM, H.P.",HIMACHAL PRADESH,7.55,0.0,SAFE,Within acceptable limits
"BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE, H.P.",HIMACHAL PRADESH,8.15,0.0,SAFE,Within acceptable limits
BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,7.95,0.0,SAFE,Within acceptable limits
BEAS AT U/S MANALI,HIMACHAL PRADESH,7.8,0.0,SAFE,Within acceptable limits
BEAS AT U/S PANDOH DAM,HIMACHAL PRADESH,7.95,0.0,SAFE,Within acceptable limits
BEAS AT U/S PANDON DAM,HIMACHAL PRADESH,7.55,0.0,SAFE,Within acceptable limits
BEAS AT U/S KULLU,HIMACHAL PRADESH,7.6,0.0,SAFE,Within acceptable limits
"BEAS AT U/S PANDON DAM, H.P.",HIMACHAL PRADESH,7.9,0.0,SAFE,Within acceptable limits
BEAS D/S ALAMPUR,HIMACHAL PRADESH,7.699999999999999,0.0,SAFE,Within acceptable limits
BEAS D/S AUT,HIMACHAL PRADESH,7.6,0.0,SAFE,Within acceptable limits
BEAS D/S JAISINGHPUR,HIMACHAL PRADESH,7.8,0.0,SAFE,Within acceptable limits
BEAS D/S MANALI,HIMACHAL PRADESH,7.7,0.0,SAFE,Within acceptable limits
BEAS D/S MANDI,HIMACHAL PRADESH,7.699999999999999,0.0,SAFE,Within acceptable limits
"BEAS D/S NADAUN BRIDGE, VILL BHADOLI",HIMACHAL PRADESH,7.85,0.0,SAFE,Within acceptable limits
BEAS D/S PONG DAM,HIMACHAL PRADESH,7.95,0.0,SAFE,Within acceptable limits
BEAS EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,7.55,0.0,SAFE,Within acceptable limits
"BEAS RIVER, U/S OF MANDI TOWN",HIMACHAL PRADESH,8.08,0.0,SAFE,Within acceptable limits
BEAS U/S KULLU,HIMACHAL PRADESH,7.550000000000001,0.0,SAFE,Within acceptable limits
