year,code,station,state,section_title,pH,conductivity_uScm,BOD_mg_L,DO_mg_L,nitrate_mg_L,waterbody,date,bis_status,bis_reasons,pH_dev,raw_status,raw_reasons
2021,3095,"RIVER GANGA AT CHANDRAPUR, ITANAGAR,",ARUNACHAL PRADESH,Tributary Streams - Burhidihing At Margherita,7.75,393.5,1.9,3.75,,GANGA,2021-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,DO < 5 mg/L
2017,10162,ARRAH- CHAPRA ROAD BRIDGE (KOILWER BANURA-CHAPRA ROAD),BIHAR,Ganga,7.9,337.0,2.1,8.15,,Ganga,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,10162,ARRAH-CHHAPRA ROAD BRIDGE (KOILWER BANURA-CHHAPRA),BIHAR,Ganga,7.85,414.5,1.75,8.350000000000001,0.425,Ganga,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,4301,"BAKHTIYARPUR-TAJPUR BRIDGE ON GANGA, ATHMALGOLA",BIHAR,Ganga,7.3,307.5,2.0,8.45,0.215,Ganga,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,4301,"BAKHTIYARPUR-TAJPUR BRIDGE ON GANGA, ATHMALGOLA, PATNA",BIHAR,Ganga,8.2,314.5,1.7999999999999998,7.55,,Ganga,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,10138,CHAMPANAGAR,BIHAR,Ganga,7.4,302.5,1.9,8.85,0.32,Ganga,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,10130,D/S NAWADAGHAT,BIHAR,Ganga,7.550000000000001,306.5,2.05,8.45,0.3949999999999999,Ganga,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,10143,D/S NEAR CREMATION GHAT,BIHAR,Ganga,7.55,352.5,2.2,7.5,0.3999999999999999,Ganga,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,10162,GANGA AT ARA- CHAPRA ROAD BRIDGE (KOILWER BANURA - CHAPRA ROAD,BIHAR,Ganga,7.85,353.5,2.1,7.8,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2019,10162,GANGA AT ARA-CHHAPRA ROAD BRIDGE (KOILWER BANURA- CHHAPRA ROAD),BIHAR,Ganga,7.800000000000001,377.5,1.7,7.75,0.19,GANGA,2019-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,1819,GANGA AT BHAGALPUR,BIHAR,Ganga,7.95,309.0,1.7,7.95,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,1074,GANGA AT BUXAR,BIHAR,Ganga,8.15,379.5,1.6,8.15,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,2551,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR,Ganga,8.15,411.0,1.85,7.85,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,3113,GANGA AT D/S BUXAR NEAR GANGA BRIDGE,BIHAR,Ganga,7.649999999999999,419.5,2.15,8.3,0.395,GANGA,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,3113,GANGA AT D/S BUXAR NEAR ROAD BRIDGE,BIHAR,Ganga,8.05,407.5,1.7,7.75,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,2553,GANGA AT FATUHA,BIHAR,Ganga,7.15,328.0,2.2,8.8,1.115,GANGA,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,2552,"GANGA AT GANDHIGHAT, NIT AT PATNA",BIHAR,Ganga,7.9,379.5,2.7,7.55,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,10115,"GANGA AT GULABI GHAT, PATNA",BIHAR,Ganga,7.85,372.5,2.15,7.6,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,10115,"GANGA AT GULBI GHAT, PATNA",BIHAR,Ganga,7.449999999999999,340.5,2.65,7.25,,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,1816,GANGA AT KAHALGAON,BIHAR,Ganga,8.05,296.0,1.65,7.9,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,2553,"GANGA AT KEWALA GHAT,FATUHA, PATNA",BIHAR,Ganga,7.800000000000001,370.0,2.2,6.949999999999999,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,1077,"GANGA AT KHURJI, PATNA U/S",BIHAR,Ganga,7.35,328.5,2.0,10.0,0.315,GANGA,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,1077,"GANGA AT KURJI, PATNA U/S",BIHAR,Ganga,8.0,313.5,1.85,7.8,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,10114,"GANGA AT MAA AMBIKA ASTHAN, AAMI, SARAN",BIHAR,Ganga,7.85,346.5,1.85,7.65,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,3122,"GANGA AT MALSALAMI, PATNA",BIHAR,Ganga,8.2,402.0,1.5,8.600000000000001,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2019,1815,GANGA AT MOKAMA (D/S),BIHAR,Ganga,7.85,316.5,2.1,7.15,0.3,GANGA,2019-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,1815,GANGA AT MOKAMA (D/s),BIHAR,Ganga,7.65,303.0,1.7,7.45,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,1817,GANGA AT MOKAMA (U/S),BIHAR,Ganga,7.75,296.5,2.05,8.25,0.39,GANGA,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2019,1817,"GANGA AT MOKAMA (U/S), MAHADEO ASTHAN, PATNA",BIHAR,Ganga,8.100000000000001,344.5,1.85,7.75,0.52,GANGA,2019-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,1817,"GANGA AT MOKAMA (U/s), MAHADEO ASTHAN, PATNA",BIHAR,Ganga,8.1,319.5,1.95,7.800000000000001,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,1818,GANGA AT MUNGER,BIHAR,Ganga,7.85,308.0,2.1,7.399999999999999,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,1079,GANGA AT PATNA D/S (GANGA BRIDGE),BIHAR,Ganga,7.55,341.5,2.5,9.15,0.365,GANGA,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,1079,"GANGA AT PATNA D/S (GANGA BRIDGE), GAIGHAT",BIHAR,Ganga,7.85,417.5,2.15,7.5,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,2555,"GANGA AT PUNPUN, PATNA",BIHAR,Ganga,7.800000000000001,592.0,3.4,4.4,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,DO < 5 mg/L; BOD > 3 mg/L
2020,2554,"GANGA AT SULTANGANJ, BHAGALPUR",BIHAR,Ganga,7.95,296.0,1.95,7.4,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,2564,GANGA AT THE CONFLUENCE OF SONE RIVER DORIGANJ,BIHAR,Ganga,7.4,343.0,1.85,8.9,0.3949999999999999,GANGA,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,2564,"GANGA AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",BIHAR,Ganga,7.85,276.5,2.25,7.75,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2018,3118,GANGA AT U/S BHAGALPUR,BIHAR,Ganga,7.55,379.0,2.4,7.25,0.32,GANGA,2018-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2020,3118,GANGA AT U/S BHAGALPUR NEAR BARARIGHAT,BIHAR,Ganga,7.65,363.5,2.4,7.050000000000001,,GANGA,2020-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,10113,"GANGA AT U/S JAIL GHAT, BUXAR (D/S CONFLUENCE OF THORA RIVER)",BIHAR,Ganga,8.0,369.0,2.05,8.4,,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
