station,2016,2017,2018,2019,2020,2021,2022
ARRAH- CHAPRA ROAD BRIDGE (KOILWER BANURA-CHAPRA ROAD),,7.9,,,,,
ARRAH-CHHAPRA ROAD BRIDGE (KOILWER BANURA-CHHAPRA),,,7.85,,,,
"BAKHTIYARPUR-TAJPUR BRIDGE ON GANGA, ATHMALGOLA",,,7.3,,,,
"BAKHTIYARPUR-TAJPUR BRIDGE ON GANGA, ATHMALGOLA, PATNA",,,,8.0,8.2,,
BATHING GHAT (BHARAOGHAT),,,8.15,,,,
"BATHING GHAT, GOLAGHAT",,,8.1,,,,
"BATHING GHAT, JAJMAU BRIDGE",,,8.05,,,,
BATTA BEFORE CONFLUENCE TO YAMUNA,,,,7.5,,,
CHAMPANAGAR,,,7.4,,,,
D/S (SHUKLAGANJ),,7.85,,,,,
D/S NAWADAGHAT,,,7.550000000000001,,,,
D/S NEAR CREMATION GHAT,,,7.55,,,,
D/S NEAR JANTA GHAT,,,8.1,,,,
D/S SHUKLAGANJ,,,8.1,,,,
FARRUKABAD,,,8.0,,,,
GANGA AT ALLAHABAD (RASOOLABAD),,7.9,8.1,8.0,,,
"GANGA AT ALLAHABAD (RASOOLABAD), U.P.",,,,,7.9,,
GANGA AT ALLAHABAD D/S (SANGAM),,7.9,7.95,8.1,,,
"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",,,,,8.1,,
GANGA AT ARA- CHAPRA ROAD BRIDGE (KOILWER BANURA - CHAPRA ROAD,,,,,7.85,,
GANGA AT ARA-CHHAPRA ROAD BRIDGE (KOILWER BANURA- CHHAPRA ROAD),,,,7.800000000000001,,,
GANGA AT BAHARAMPORE,,7.85,7.949999999999999,,,,
"GANGA AT BAHARAMPORE, MURSHIDABAD,",,,,7.95,,,
GANGA AT BHAGALPUR,,7.65,7.449999999999999,7.95,7.95,,
GANGA AT BIJNOR (U.P.),,,,,7.5,,
GANGA AT BITHOOR (KANPUR),,8.05,8.25,8.350000000000001,,,
"GANGA AT BITHOOR (KANPUR), U.P.",,,,,8.1,,
GANGA AT BUXAR,,8.05,7.6,8.0,8.15,,
"GANGA AT BUXAR, RAMREKHAGHAT",,7.85,7.8,8.1,8.15,,
GANGA AT D/S BUXAR NEAR GANGA BRIDGE,,7.85,7.649999999999999,,,,
GANGA AT D/S BUXAR NEAR ROAD BRIDGE,,,,8.0,8.05,,
GANGA AT DAKSHINESHWAR,,7.699999999999999,7.55,,,,
"GANGA AT DAKSHMINESHWAR, KOLKATA, WEST BENGAL",,,,7.85,,,
GANGA AT DALMAU (RAI BAREILLY),,7.9,7.9,8.3,,,
"GANGA AT DALMAU (RAI BAREILLY), U.P.",,,,,7.949999999999999,,
GANGA AT DIAMOND HARBOUR,,7.25,8.15,,,,
"GANGA AT DIAMOND HARBOUR, 24 PARGANAS (S)WEST BENGAL",,,,7.4,,,
GANGA AT FATUHA,,8.05,7.15,,,,
"GANGA AT GANDHIGHAT, NIT AT PATNA",,,,8.0,7.9,,
GANGA AT GARDEN REACH,,7.8,7.0,,,,
"GANGA AT GARDEN REACH, KOLKATA, WEST BENGAL",,,,8.15,,,
GANGA AT GARHMUKTESHWAR,,7.550000000000001,7.3,7.25,,,
"GANGA AT GARHMUKTESHWAR, U.P",,,,,7.75,,
"GANGA AT GULABI GHAT, PATNA",,,,,7.85,,
"GANGA AT GULBI GHAT, PATNA",,7.449999999999999,,,,,
GANGA AT HARIDWAR D/S,,7.4,8.0,,,,
"GANGA AT HARIDWAR D/S, UPPER GANGA CANAL D/S BALKUMARI MANDIR,",,,,7.55,,,
"GANGA AT HARIDWAR D/S, UPPER GANGA CANAL D/S BALKUMARI MANDIR, AJEETPUR, HARIDWAR",,,,,7.55,,
GANGA AT HOWRAH-SHIVPUR,,7.699999999999999,7.199999999999999,,,,
GANGA AT HOWRAH-SHIVPUR WEST BENGAL,,,,7.6,,,
"GANGA AT KACHHLA GHAT, ALIGARH",,7.4,7.3,7.5,7.4,,
"GANGA AT KADAGHAT, ALLAHABAD",,8.05,7.35,8.15,7.95,,
GANGA AT KAHALGAON,,7.8,7.6,8.05,8.05,,
"GANGA AT KALA KANKAR, RAEBARELI",,7.9,7.85,8.2,7.949999999999999,,
GANGA AT KANNAUJ D/S,,8.05,8.2,8.2,,,
"GANGA AT KANNAUJ D/S, U.P",,,,,7.95,,
GANGA AT KANNAUJ U/S (RAJGHAT),,7.75,8.149999999999999,8.15,,,
"GANGA AT KANNAUJ U/S (RAJGHAT), U.P",,,,,8.05,,
GANGA AT KANPUR D/S (JAJMAU PUMPING STATION),,7.9,7.95,8.0,,,
"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",,,,,7.85,,
GANGA AT KANPUR U/S (RANIGHAT),,7.95,8.15,8.25,,,
"GANGA AT KANPUR U/S (RANIGHAT), U.P",,,,,8.01,,
"GANGA AT KEWALA GHAT,FATUHA, PATNA",,,,7.85,7.800000000000001,,
"GANGA AT KHURJI, PATNA U/S",,8.0,7.35,,,,
"GANGA AT KURJI, PATNA U/S",,,,,8.0,,
"GANGA AT MAA AMBIKA ASTHAN, AAMI, SARAN",,7.35,,,7.85,,
"GANGA AT MALSALAMI, PATNA",,8.1,7.449999999999999,7.9,8.2,,
GANGA AT MANJHIGHAT(BIHAR),,,,,8.35,,
GANGA AT MOKAMA (D/S),,7.65,7.75,7.85,,,
GANGA AT MOKAMA (D/s),,,,,7.65,,
GANGA AT MOKAMA (U/S),,7.85,7.75,,,,
"GANGA AT MOKAMA (U/S), MAHADEO ASTHAN, PATNA",,,,8.100000000000001,,,
"GANGA AT MOKAMA (U/s), MAHADEO ASTHAN, PATNA",,,,,8.1,,
GANGA AT MUNGER,,7.65,7.399999999999999,8.05,7.85,,
