year,code,station,state,section_title,pH,conductivity_uScm,BOD_mg_L,DO_mg_L,nitrate_mg_L,waterbody,date,bis_status,bis_reasons,pH_dev,raw_status,raw_reasons
2016,2483,VARUNA B/C WITH GANGA AT VARANASI,UTTAR PRADESH,Suswa,8.0,531.5,30.0,3.95,0.0,GANGA,2016-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,DO < 5 mg/L; BOD > 3 mg/L
2016,1337,RUPNARAYAN B/C TO RIVER GANGA NEAR GEONKHALI,WEST BENGAL,Tons,8.15,6286.0,1.65,6.65,0.4499999999999999,GANGA,2016-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,1060,GANGA AT RISHIKESH U/S,UTTARAKHAND,Ganga,7.4,,1.0,10.1,,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,10147,RIVER GANGA D/S RISHIKESH,UTTARAKHAND,Ganga,7.550000000000001,,1.0,9.4,,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,3997,"RIVER GANGA U/S HARIDWAR AT ABINDUGHAT, DUDHIYABAD, HARIDWAR",UTTARAKHAND,Ganga,7.65,,1.0,8.8,,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,10148,RIVER GANGA AT HAR-KI- PAURI GHAT,UTTARAKHAND,Ganga,7.3,,1.0,9.2,,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,1061,GANGA AT HARIDWAR D/S,UTTARAKHAND,Ganga,7.4,,3.8,8.0,,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,1062,GANGA AT GARHMUKTESHWAR,UTTAR PRADESH,Ganga,7.550000000000001,189.0,2.1,8.0,0.4499999999999999,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,10149,RIVER GANGA AT GHARMUKTESHWAR,UTTAR PRADESH,Ganga,7.449999999999999,227.5,2.2,8.15,2.75,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,Ganga,7.25,203.0,2.85,7.8,0.4499999999999999,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,Ganga,7.4,191.0,2.85,8.05,0.35,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,1145,GANGA AT NARORA (BULANDSAHAR),UTTAR PRADESH,Ganga,7.3,192.5,2.7,7.8,0.4,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,2490,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,Ganga,7.4,189.0,2.6,7.699999999999999,0.35,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,1063,GANGA AT KANNAUJ U/S (RAJGHAT),UTTAR PRADESH,Ganga,7.75,313.0,3.5,8.25,0.3,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,1066,GANGA AT KANNAUJ D/S,UTTAR PRADESH,Ganga,8.05,321.5,4.0,8.3,0.3,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,1146,GANGA AT BITHOOR (KANPUR),UTTAR PRADESH,Ganga,8.05,305.0,3.1,8.7,0.3,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,1067,GANGA AT KANPUR U/S (RANIGHAT),UTTAR PRADESH,Ganga,7.95,315.5,3.4,8.55,0.3,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,10154,RIVER GANGA AT BATHING GHAT (BHARAOGHAT),UTTAR PRADESH,Ganga,7.85,293.5,3.3,8.3,0.3,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,10155,D/S (SHUKLAGANJ),UTTAR PRADESH,Ganga,7.85,305.0,3.45,7.65,0.3,Ganga,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,10156,RIVER GANGA AT BATHING GHAT (GOLA GHAT),UTTAR PRADESH,Ganga,7.8,307.0,3.8,7.5,0.3,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,1068,GANGA AT KANPUR D/S (JAJMAU PUMPING STATION),UTTAR PRADESH,Ganga,7.9,421.5,5.6,7.1,0.35,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,10157,RIVER GANGA AT BATHING GHAT (JAJMAU BRIDGE),UTTAR PRADESH,Ganga,7.6,312.0,4.8,7.5,0.35,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,1147,GANGA AT DALMAU (RAI BAREILLY),UTTAR PRADESH,Ganga,7.9,411.5,4.199999999999999,7.65,0.6,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,Ganga,7.9,417.0,4.1,7.75,0.8500000000000001,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,1046,GANGA AT ALLAHABAD (RASOOLABAD),UTTAR PRADESH,Ganga,7.9,280.0,4.6,8.25,1.45,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,Ganga,8.05,273.0,5.05,7.8,1.35,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,1049,GANGA AT ALLAHABAD D/S (SANGAM),UTTAR PRADESH,Ganga,7.9,358.5,4.75,7.9,1.1,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,Ganga,6.949999999999999,330.0,2.5,8.15,0.35,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,Ganga,7.2,349.5,2.75,8.0,0.4499999999999999,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,1070,GANGA AT VARANASI U/S (ASSIGHAT),UTTAR PRADESH,Ganga,8.2,437.5,3.05,8.15,0.3,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,1071,GANGA AT VARANASI D/S (MALVIYA BRIDGE),UTTAR PRADESH,Ganga,8.45,483.0,5.699999999999999,7.050000000000001,0.35,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,1073,GANGA AT TRIGHAT (GHAZIPUR),UTTAR PRADESH,Ganga,8.45,475.0,4.9,7.1,0.35,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNSAFE,BOD > 3 mg/L
2017,1074,GANGA AT BUXAR,BIHAR,Ganga,8.05,389.5,1.85,8.1,,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,10113,"GANGA AT U/S JAIL GHAT, BUXAR (D/S CONFLUENCE OF THORA RIVER)",BIHAR,Ganga,8.0,369.0,2.05,8.4,,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,2551,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR,Ganga,7.85,406.0,1.7999999999999998,8.05,,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
2017,3113,GANGA AT D/S BUXAR NEAR GANGA BRIDGE,BIHAR,Ganga,7.85,381.5,1.55,8.1,,GANGA,2017-06-30,SAFE,Within BIS acceptable pH,0.0,UNKNOWN,Insufficient data for composite check
